,method,score,std,test_points,freq,dpoints,building_id,model,splits
3,frac_cyc,52.12564925792038,30.84202257263324,1752,60,8760,338,LinearRegression,4
4,domain,55.82468352109208,24.35169751114934,1752,60,8760,338,LinearRegression,4
0,baseline,79.22155749528093,2.556346859985306,1752,60,8760,338,RandomForestRegressor,4
1,baseline_cyc,77.58281766632041,4.44849616207071,1752,60,8760,338,RandomForestRegressor,4
2,frac,78.66484166428738,2.8527161686351996,1752,60,8760,338,RandomForestRegressor,4
3,frac_cyc,78.46493187267265,4.245976268830076,1752,60,8760,338,RandomForestRegressor,4
4,domain,79.1047293601221,4.317570134078313,1752,60,8760,338,RandomForestRegressor,4
0,baseline,60.56197193134397,8.976613725695348,13260,15,66303,22,LinearRegression,4
1,baseline_cyc,74.92603949336458,1.827681264030241,13260,15,66303,22,LinearRegression,4
2,frac,63.492183495260136,2.884591831155634,13260,15,66303,22,LinearRegression,4
3,frac_cyc,73.51030005913233,3.136994340888081,13260,15,66303,22,LinearRegression,4
4,domain,73.57685137690343,2.9354213166371954,13260,15,66303,22,LinearRegression,4
0,baseline,82.97376819905692,0.8364629474043356,13260,15,66303,22,RandomForestRegressor,4
1,baseline_cyc,81.37791717144815,0.5500010970267973,13260,15,66303,22,RandomForestRegressor,4
2,frac,82.33373122268458,0.4423052158338735,13260,15,66303,22,RandomForestRegressor,4
3,frac_cyc,82.17710839200305,0.10416575983616672,13260,15,66303,22,RandomForestRegressor,4
4,domain,82.37223682211959,0.26805611387629363,13260,15,66303,22,RandomForestRegressor,4
0,baseline,76.17984149017528,7.238257613836717,1752,60,8760,489,LinearRegression,4
1,baseline_cyc,84.4880205806305,1.7164556892557368,1752,60,8760,489,LinearRegression,4
2,frac,76.29822358404165,7.054766923908131,1752,60,8760,489,LinearRegression,4
3,frac_cyc,77.36453127226085,7.959637308183633,1752,60,8760,489,LinearRegression,4
4,domain,78.8877221171966,5.398127793092385,1752,60,8760,489,LinearRegression,4
0,baseline,88.46516771342804,2.090895840040587,1752,60,8760,489,RandomForestRegressor,4
1,baseline_cyc,87.16724651158954,1.7728897602284006,1752,60,8760,489,RandomForestRegressor,4
2,frac,88.27953551825976,2.0838874856440244,1752,60,8760,489,RandomForestRegressor,4
3,frac_cyc,88.96505122779803,2.351483403183385,1752,60,8760,489,RandomForestRegressor,4
4,domain,88.61466446932467,1.9288359252628016,1752,60,8760,489,RandomForestRegressor,4
0,baseline,10.182734176937267,23.83336536968558,1752,60,8760,112,LinearRegression,4
1,baseline_cyc,45.17360900394448,28.612527668955973,1752,60,8760,112,LinearRegression,4
2,frac,18.052861594737507,55.89369289146499,1752,60,8760,112,LinearRegression,4
3,frac_cyc,49.6684683931114,23.93477275601964,1752,60,8760,112,LinearRegression,4
4,domain,47.77806317324049,28.501281177220648,1752,60,8760,112,LinearRegression,4
0,baseline,53.83034756307261,44.303520827732925,1752,60,8760,112,RandomForestRegressor,4
1,baseline_cyc,13.394049535166591,69.40759083557728,1752,60,8760,112,RandomForestRegressor,4
2,frac,48.038410527450196,53.2023764686223,1752,60,8760,112,RandomForestRegressor,4
3,frac_cyc,35.53057685193046,43.88685387258507,1752,60,8760,112,RandomForestRegressor,4
4,domain,36.730621944813265,43.21304952101913,1752,60,8760,112,RandomForestRegressor,4
0,baseline,-4.126471524323225,51.55291690682171,1752,60,8760,106,LinearRegression,4
1,baseline_cyc,-44.012630688319696,79.92598051294371,1752,60,8760,106,LinearRegression,4
2,frac,-70.69345345070413,18.643990754976528,1752,60,8760,106,LinearRegression,4
3,frac_cyc,-36.20460276952889,73.39626303547234,1752,60,8760,106,LinearRegression,4
4,domain,-39.725184637859726,71.49539764735816,1752,60,8760,106,LinearRegression,4
0,baseline,-7.497906871045892,56.108882785609346,1752,60,8760,106,RandomForestRegressor,4
1,baseline_cyc,-56.01150248603939,68.65323880254356,1752,60,8760,106,RandomForestRegressor,4
2,frac,-8.599283572774379,49.84445326355902,1752,60,8760,106,RandomForestRegressor,4
3,frac_cyc,-61.38015982614269,94.42146873326975,1752,60,8760,106,RandomForestRegressor,4
4,domain,-67.75348475428012,93.78713612475876,1752,60,8760,106,RandomForestRegressor,4
0,baseline,75.59804380120886,4.509847112082434,1752,60,8760,502,LinearRegression,4
1,baseline_cyc,82.9243776325317,3.2913007062630815,1752,60,8760,502,LinearRegression,4
2,frac,75.77498922240623,4.268520904200671,1752,60,8760,502,LinearRegression,4
3,frac_cyc,73.23208292230927,15.288074987556392,1752,60,8760,502,LinearRegression,4
4,domain,74.36929214857287,13.17671280530893,1752,60,8760,502,LinearRegression,4
0,baseline,89.98708264673287,2.8493852794796033,1752,60,8760,502,RandomForestRegressor,4
1,baseline_cyc,84.60496307062431,1.5945983749437487,1752,60,8760,502,RandomForestRegressor,4
2,frac,89.10582628357876,2.551182576481483,1752,60,8760,502,RandomForestRegressor,4
3,frac_cyc,89.81984561818344,1.8187331609723034,1752,60,8760,502,RandomForestRegressor,4
4,domain,89.72494723436307,1.1519903204284252,1752,60,8760,502,RandomForestRegressor,4
0,baseline,85.7058133540141,2.3275974823197476,1752,60,8760,264,LinearRegression,4
1,baseline_cyc,89.6367526401572,2.4706142960332755,1752,60,8760,264,LinearRegression,4
2,frac,85.7737630883593,2.2692777821238006,1752,60,8760,264,LinearRegression,4
3,frac_cyc,85.4587352242863,5.953060142516354,1752,60,8760,264,LinearRegression,4
4,domain,86.66069658504946,4.179116917628979,1752,60,8760,264,LinearRegression,4
0,baseline,93.48031050647982,1.3831200474970544,1752,60,8760,264,RandomForestRegressor,4
1,baseline_cyc,93.52987417229147,1.237154682503811,1752,60,8760,264,RandomForestRegressor,4
2,frac,93.06941757540113,1.5119739563045438,1752,60,8760,264,RandomForestRegressor,4
3,frac_cyc,93.33598003230767,1.7205220039003446,1752,60,8760,264,RandomForestRegressor,4
4,domain,93.2203763079956,1.711911064643524,1752,60,8760,264,RandomForestRegressor,4
0,baseline,30.07960167671458,24.29654576981407,1752,60,8760,270,LinearRegression,4
1,baseline_cyc,55.55058300379788,10.483191144947039,1752,60,8760,270,LinearRegression,4
2,frac,27.027515545509644,18.40542199427028,1752,60,8760,270,LinearRegression,4
3,frac_cyc,55.85870234618849,12.215715085757608,1752,60,8760,270,LinearRegression,4
4,domain,55.9511919364392,12.314671342700436,1752,60,8760,270,LinearRegression,4
0,baseline,74.82405371375867,15.658835528577097,1752,60,8760,270,RandomForestRegressor,4
1,baseline_cyc,71.5935160173628,13.380584725779244,1752,60,8760,270,RandomForestRegressor,4
2,frac,76.35699809079013,12.929211669349035,1752,60,8760,270,RandomForestRegressor,4
3,frac_cyc,76.13793318442615,13.446271279523987,1752,60,8760,270,RandomForestRegressor,4
4,domain,75.24842565465924,14.581622570969115,1752,60,8760,270,RandomForestRegressor,4
0,baseline,89.38100364799415,1.4887990306147207,1752,60,8760,516,LinearRegression,4
1,baseline_cyc,90.14247766515614,1.8472769459500782,1752,60,8760,516,LinearRegression,4
2,frac,89.40129913900364,1.3738013152404474,1752,60,8760,516,LinearRegression,4
3,frac_cyc,87.35724495753561,4.937200360277055,1752,60,8760,516,LinearRegression,4
4,domain,86.00299287554533,7.297903717766334,1752,60,8760,516,LinearRegression,4
0,baseline,95.32907863416654,1.1913048665970603,1752,60,8760,516,RandomForestRegressor,4
1,baseline_cyc,89.91439044563107,4.2486407465963705,1752,60,8760,516,RandomForestRegressor,4
2,frac,94.43888948656061,1.9232465441800732,1752,60,8760,516,RandomForestRegressor,4
3,frac_cyc,90.67476681098584,4.630624281296502,1752,60,8760,516,RandomForestRegressor,4
4,domain,91.84232748143657,3.5731221659474053,1752,60,8760,516,RandomForestRegressor,4
0,baseline,33.47796722239721,9.813883996812288,1752,60,8760,258,LinearRegression,4
1,baseline_cyc,5.0738903514344855,37.19458249866155,1752,60,8760,258,LinearRegression,4
2,frac,33.599987913378996,9.685975738907127,1752,60,8760,258,LinearRegression,4
3,frac_cyc,12.260073136494544,35.032799255034284,1752,60,8760,258,LinearRegression,4
4,domain,10.610765175206115,37.231577159624074,1752,60,8760,258,LinearRegression,4
0,baseline,64.37308525103772,13.613999521143771,1752,60,8760,258,RandomForestRegressor,4
1,baseline_cyc,34.45845548868893,35.688113606194776,1752,60,8760,258,RandomForestRegressor,4
2,frac,64.12504703841488,14.765367280333006,1752,60,8760,258,RandomForestRegressor,4
3,frac_cyc,47.78273087677327,31.06634373312642,1752,60,8760,258,RandomForestRegressor,4
4,domain,44.80256766623329,25.469742285315544,1752,60,8760,258,RandomForestRegressor,4
0,baseline,79.97395949861902,3.742609241232462,1752,60,8760,259,LinearRegression,4
1,baseline_cyc,72.53679967582724,9.971340307113204,1752,60,8760,259,LinearRegression,4
2,frac,80.2350796160671,3.5888650539997062,1752,60,8760,259,LinearRegression,4
3,frac_cyc,63.01167426381134,23.286927544958676,1752,60,8760,259,LinearRegression,4
4,domain,63.6011304404625,21.968429869704615,1752,60,8760,259,LinearRegression,4
0,baseline,85.58439140705597,3.719735389512233,1752,60,8760,259,RandomForestRegressor,4
1,baseline_cyc,85.38149488504408,2.899363761975529,1752,60,8760,259,RandomForestRegressor,4
2,frac,85.15877500280757,3.4156652711877675,1752,60,8760,259,RandomForestRegressor,4
3,frac_cyc,86.50400623377254,2.2423744512504564,1752,60,8760,259,RandomForestRegressor,4
4,domain,86.53861885424085,2.312881710062565,1752,60,8760,259,RandomForestRegressor,4
0,baseline,66.50360113177236,7.613553054624086,1752,60,8760,271,LinearRegression,4
1,baseline_cyc,65.05494704597463,11.038551918331684,1752,60,8760,271,LinearRegression,4
2,frac,61.327886631893364,6.183629014657736,1752,60,8760,271,LinearRegression,4
